CD_MUN,NOME_CLEAN,latitude,longitude
1703305,bom jesus do tocantinsTO,-9.01240658079021,-47.879220056583364
1703602,brasilandia do tocantinsTO,-8.28990228102794,-48.44279292704221
1703701,brejinho de nazareTO,-11.029270783893473,-48.624126778670316
1703800,buriti do tocantinsTO,-5.337668758622305,-48.136313982056684
1703826,cachoeirinhaTO,-6.090008622852329,-47.84133599817008
1703842,campos lindosTO,-8.203799018465821,-46.80458426754761
1703867,cariri do tocantinsTO,-11.933027597103804,-49.20277777573632
1703883,carmolandiaTO,-7.045120554994545,-48.37454302592423
1703891,carrasco bonitoTO,-5.3371728003066305,-48.00992544909488
1703909,casearaTO,-9.40166835762582,-49.84857196985468
1704105,centenarioTO,-9.073795005075475,-47.44478222207858
1704600,chapada de areiaTO,-10.165712802015344,-49.19567143906409
1705102,chapada da natividadeTO,-11.54106994643704,-47.846441599064306
1705508,colinas do tocantinsTO,-8.076435621588352,-48.53011530529804
1705557,combinadoTO,-12.846283007198494,-46.503748645466295
1705607,conceicao do tocantinsTO,-12.171034229773795,-47.303673493536046
1706001,couto magalhaesTO,-8.436744561910858,-49.16244724724822
1706100,cristalandiaTO,-10.636381779338858,-49.31240845031187
1706258,crixas do tocantinsTO,-11.171861793640304,-49.07274689998786
1706506,darcinopolisTO,-6.763412860814327,-47.76787751124273
1707009,dianopolisTO,-11.694803426672836,-46.795750626481386
1707108,divinopolis do tocantinsTO,-9.695133727659039,-49.35475400330351
1707207,dois irmaos do tocantinsTO,-9.270936776626254,-49.06693250626084
1707306,duereTO,-11.427228265110692,-49.391276558733075
1707405,esperantinaTO,-5.326292134677705,-48.54031920003269
1707553,fatimaTO,-10.809757402052087,-48.87232658490942
1707652,figueiropolisTO,-12.263470563509388,-49.28279236445246
1707702,filadelfiaTO,-7.496680435667137,-47.79374794366989
1708205,formoso do araguaiaTO,-11.958272717887077,-50.098090648688036
1708254,tabocaoTO,-9.071431543205989,-48.54602483262309
1708304,goianorteTO,-8.873203967594774,-49.01119427350105
1709005,goiatinsTO,-8.09416109086442,-47.48153445586912
1709302,guaraiTO,-8.730118690602756,-48.42505082241387
1709500,gurupiTO,-11.651597030800971,-48.88735747449927
1709807,ipueirasTO,-11.13508239438411,-48.40352242952306
1710508,itacajaTO,-8.571533097693953,-47.66931771328028
1710706,itaguatinsTO,-5.802727673041107,-47.59507331662749
1710904,itapiratinsTO,-8.316305488315866,-48.033317713228314
1711100,itapora do tocantinsTO,-8.45120848183166,-48.752608116449785
1711506,jau do tocantinsTO,-12.747736931185388,-48.64548505099375
1711803,juarinaTO,-8.14080766135638,-49.11033284006385
1711902,lagoa da confusaoTO,-11.034998826430746,-50.16072229243238
1711951,lagoa do tocantinsTO,-10.341862579124275,-47.48114441098065
1712009,lajeadoTO,-9.850561800919785,-48.290952259834334
1712157,lavandeiraTO,-12.812627349405567,-46.41045503790207
1712405,lizardaTO,-9.52482572729144,-46.93895289263327
1712454,luzinopolisTO,-6.206019343483163,-47.830742167755766
1712504,marianopolis do tocantinsTO,-9.787577535248527,-49.70003950466349
1712702,mateirosTO,-10.583008014818716,-46.50260695364466
1712801,maurilandia do tocantinsTO,-6.023178210539017,-47.58994389693198
1713205,miracema do tocantinsTO,-9.754160546568045,-48.5514678932387
1713304,miranorteTO,-9.416342736806076,-48.683762255669656
1713601,monte do carmoTO,-10.74761965628364,-48.017213141817734
1713700,monte santo do tocantinsTO,-9.999481797685192,-49.067282821374306
1713809,palmeiras do tocantinsTO,-6.600231020388121,-47.64269132587604
1713957,muricilandiaTO,-7.003342907348368,-48.78650624377801
1714203,natividadeTO,-11.79831350929676,-47.64882612504653
1714302,nazareTO,-6.330341733305119,-47.78145161216464
1714880,nova olindaTO,-7.637885488134989,-48.36074525503995
1715002,nova rosalandiaTO,-10.550012314824045,-48.97333177257503
1715101,novo acordoTO,-10.154976328542102,-47.38300810959885
1715150,novo alegreTO,-12.914262173094933,-46.55962872561788
1715259,novo jardimTO,-11.779014518254163,-46.57036076572081
1715507,oliveira de fatimaTO,-10.674488006463713,-48.87580534538399
1715705,palmeiranteTO,-7.885946595190924,-48.15628252607694
1715754,palmeiropolisTO,-13.019790564345103,-48.348773685500746
1716109,paraiso do tocantinsTO,-10.218217490823143,-48.82726529448598
1716208,paranaTO,-12.6964933276617,-47.813474281994935
1716307,pau d'arcoTO,-7.544930438111182,-48.98835521775961
1716505,pedro afonsoTO,-9.226903885587015,-48.03421124380884
1716604,peixeTO,-11.996761877757775,-48.555219095639174
1716653,pequizeiroTO,-8.379808421554555,-48.91715828602237
1716703,colmeiaTO,-8.837426591532827,-48.748640614738726
1717008,pindorama do tocantinsTO,-11.159714214345504,-47.55885220675224
1717206,piraqueTO,-6.738636098994669,-48.23944884485265
